tool,status,reason_category,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,artifact_path
marshal,error,marshal_parse_failure,"marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:ValueError:bad marshal data (list size out of range),offset8:ValueError:bad marshal data (unknown type code)",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/load_model.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
decompyle3,exit_2,tool_exit,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) ValueError: bad marshal data (unkn...",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/load_model.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
marshal,error,marshal_parse_failure,"marshal_failed:offset16:EOFError:marshal data too short,offset12:ValueError:bad marshal data (unknown type code),offset8:ValueError:bad marshal data (unknown type code)",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/preprocess_generative_model_and_data.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
decompyle3,exit_2,tool_exit,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) EOFError: marshal data too short",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/preprocess_generative_model_and_data.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
marshal,error,marshal_parse_failure,"marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:ValueError:bad marshal data (unknown type code),offset8:ValueError:bad marshal data (unknown type code)",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/sequence_generation.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
decompyle3,exit_2,tool_exit,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) ValueError: bad marshal data (unkn...",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/sequence_generation.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
marshal,error,marshal_parse_failure,"marshal_failed:offset16:ValueError:bad marshal data (digit out of range in long),offset12:ValueError:bad marshal data (unknown type code),offset8:ValueError:bad marshal data (unknown type code)",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/utils.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
decompyle3,exit_2,tool_exit,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) ValueError: bad marshal data (digi...",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/olga/__pycache__/utils.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
marshal,error,marshal_parse_failure,"marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:ValueError:bad marshal data (unknown type code),offset8:ValueError:bad marshal data (unknown type code)",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/tcrdist/__pycache__/__init__.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
decompyle3,exit_2,tool_exit,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) ValueError: bad marshal data (unkn...",clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist,0.1.5,wheel,clustcrdist/constants/modules/tcrdist/__pycache__/__init__.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl
